date, pm25, pm10, o3, no2, so2, co
2024/5/8, 53, , 36, 3, , 
2024/5/9, 39, , 45, 6, , 
2024/5/10, 46, , 46, 6, , 
2024/5/11, 52, , 41, 4, , 
2024/5/12, 42, , 44, 5, , 
2024/5/13, 40, , 42, 3, , 
2024/5/14, 31, 9, 35, 5, , 
2024/5/15, 20, 13, 38, 3, , 
2024/5/16, 27, 5, 31, 2, , 
2024/5/17, 14, 6, 37, 3, , 
2024/5/18, 19, 9, 37, 2, , 
2024/5/19, 21, 4, 39, 2, , 
2024/5/20, 16, 8, 33, 4, , 
2024/5/21, 22, 3, 34, 3, , 
2024/5/22, 14, 5, 40, 3, , 
2024/5/23, 18, 6, 41, 3, , 
2024/5/24, 16, 4, 43, 3, , 
2024/5/25, 17, 7, 41, 3, , 
2024/5/26, 23, 11, 38, 4, , 
2024/5/27, 30, 7, 30, 3, , 
2024/5/28, 20, 7, 37, 3, , 
2024/5/29, 16, 4, 26, 2, , 
2024/5/30, 12, 1, 25, 2, , 
2024/5/31, 5, 4, 32, 2, , 
2024/6/1, 9, 5, 34, 3, , 
2024/6/2, 17, 17, 25, 4, , 
2024/6/3, 40, 12, 43, 3, , 
2024/6/4, 34, 12, 41, 3, , 
2024/6/5, 34, 16, 42, 4, , 
2024/6/6, 46, 13, 37, 4, , 
2024/6/7, 42, 17, 38, 6, , 
2024/6/8, 44, 12, 36, 2, , 
2024/6/9, 25, 12, 40, 3, , 
2024/6/10, 29, 5, 30, 3, , 
2024/6/11, 15, 8, 36, 2, , 
2024/6/12, 22, 12, 39, 4, , 
2024/6/13, 28, 12, 36, 3, , 
2024/6/14, 32, 10, 29, 3, , 
2024/6/15, 28, 5, 33, 2, , 
2024/6/16, 16, 10, 32, 4, , 
2024/6/17, 26, 14, 37, 3, , 
2024/6/18, 28, 20, 46, 4, , 
2024/6/19, 48, 24, 35, 3, , 
2024/6/20, 50, 25, 41, 3, , 
2024/6/21, 43, 5, 40, 2, , 
2024/6/22, 16, 9, 33, 1, , 
2024/6/23, 22, 18, 41, 3, , 
2024/6/24, 42, 16, 42, 2, , 
2024/6/25, 41, 18, 39, 4, , 
2024/6/26, 40, 13, 43, 2, , 
2024/6/27, 34, 15, 44, 3, , 
2024/6/28, 36, 26, 39, 4, , 
2024/6/29, 59, 23, 36, 2, , 
2024/6/30, 41, 9, 37, 2, , 
2024/1/1, 45, 2, 34, 3, , 
2024/1/2, 4, 1, 33, 1, , 
2024/1/3, 2, 3, 32, 2, , 
2024/1/4, 6, 9, 15, 13, , 
2024/1/5, 26, 8, 26, 6, , 
2024/1/6, 29, 7, 23, 4, , 
2024/1/7, 29, 10, 22, 3, , 
2024/1/8, 39, 24, 19, 9, , 
2024/1/9, 73, 35, 9, 13, , 
2024/1/10, 89, 33, 6, 18, , 
2024/1/11, 91, 37, 7, 18, , 
2024/1/12, 106, 33, 12, 16, , 
2024/1/13, 90, 21, 20, 11, , 
2024/1/14, 69, 6, 27, 5, , 
2024/1/15, 21, 11, 26, 13, , 
2024/1/16, 33, 9, 27, 12, , 
2024/1/17, 24, 3, 27, 6, , 
2024/1/18, 13, 15, 23, 11, , 
2024/1/19, 53, 14, 20, 16, , 
2024/1/20, 39, 20, 14, 19, , 
2024/1/21, 52, 7, 29, 14, , 
2024/1/22, 18, 5, 31, 3, , 
2024/1/23, 8, 2, 28, 2, , 
2024/1/24, 7, 13, 30, 5, , 
2024/1/25, 23, 4, 28, 4, , 
2024/1/26, 11, 12, 25, 9, , 
2024/1/27, 32, 12, 17, 11, , 
2024/1/28, 36, 22, 8, 15, , 
2024/1/29, 57, 28, 5, 21, , 
2024/1/30, 60, 25, 18, 17, , 
2024/1/31, 55, 13, 23, 6, , 
2024/2/1, 39, 8, 29, 5, , 
2024/2/2, 25, 5, 30, 7, , 
2024/2/3, 22, 7, 26, 3, , 
2024/2/4, 18, 16, 28, 3, , 
2024/2/5, 36, 17, 26, 6, , 
2024/2/6, 35, 8, 30, 2, , 
2024/2/7, 16, 11, 28, 3, , 
2024/2/8, 35, 18, 14, 11, , 
2024/2/9, 40, 17, 13, 11, , 
2024/2/10, 45, 8, 27, 5, , 
2024/2/11, 22, 3, 24, 4, , 
2024/2/12, 7, 13, 29, 9, , 
2024/2/13, 26, 5, 29, 8, , 
2024/2/14, 6, 9, 26, 9, , 
2024/2/15, 11, 15, 23, 10, , 
2024/2/16, 42, 18, 26, 6, , 
2024/2/20, 17, 9, 29, 8, , 
2024/2/21, 18, 8, 28, 11, , 
2024/2/22, 23, 3, 35, 3, , 
2024/2/23, 6, 5, 29, 7, , 
2024/2/24, 18, 7, 30, 7, , 
2024/2/25, 30, 9, 18, 8, , 
