date, pm25, pm10, o3, no2, so2, co
2024/10/9, 13, 9, , 20, , 
2024/10/10, 20, 9, , 20, , 
2024/10/11, 14, 11, , 10, , 
2024/10/12, 26, 8, , 14, , 
2024/10/13, 18, 14, , 16, , 
2024/10/14, 35, 17, , 10, , 
2024/10/15, 48, 10, , 8, , 
2024/10/16, 29, 20, , 15, , 
2024/10/17, 46, 27, , 15, , 
2024/10/18, 63, 17, , 10, , 
2024/10/19, 44, 20, , 11, , 
2024/10/20, 57, 19, , 11, , 
2024/10/21, 48, 15, , 19, , 
2024/10/22, 41, 14, , 13, , 
2024/10/23, 41, 10, , 12, , 
2024/10/24, 27, 14, , 9, , 
2024/10/25, 41, 16, , 6, , 
2024/10/26, 52, 14, , 10, , 
2024/10/27, 47, 14, , 12, , 
2024/10/28, 43, 22, , 15, , 
2024/10/29, 53, 24, , 15, , 
2024/10/30, 64, 20, , 13, , 
2024/10/31, 60, 17, , 13, , 
2024/11/1, 51, 18, , 10, , 
2024/11/2, 48, 15, , 9, , 
2024/11/3, 48, 16, , 10, , 
2024/11/4, 50, 16, , 12, , 
2024/11/5, 49, 21, , 14, , 
2024/11/6, 54, 12, , 11, , 
2024/11/7, 38, 9, , 9, , 
2024/11/8, 30, 17, , 11, , 
2024/11/9, 48, 13, , 14, , 
2024/11/10, 43, 26, , 16, , 
2024/11/11, 70, 29, , 9, , 
2024/11/12, 82, 24, , 14, , 
2024/11/13, 75, 15, , 16, , 
2024/11/14, 41, 19, , 18, , 
2024/11/15, 46, 22, , 17, , 
2024/11/16, 56, 17, , 13, , 
2024/11/17, 48, 7, , 15, , 
2024/11/18, 8, 12, , 13, , 
2024/11/19, 10, 14, , 17, , 
2024/11/20, 21, 16, , 15, , 
2024/11/21, 9, 12, , 15, , 
2024/11/22, 29, 12, , 15, , 
2024/11/23, 17, 33, , 24, , 
2024/11/24, 44, 44, , 26, , 
2024/11/25, 58, 27, , 26, , 
2024/11/26, 38, 22, , 19, , 
2024/11/27, 42, 9, , 18, , 
2024/11/28, 10, 14, , 17, , 
2024/11/29, 26, 15, , 13, , 
2024/11/30, 54, 23, , 16, , 
2024/12/1, 68, 23, , 20, , 
2024/12/2, 54, 15, , 21, , 
2024/12/3, 23, 18, , 20, , 
2024/12/4, 36, 18, , 20, , 
2024/12/5, 40, 10, , 15, , 
2024/12/6, 9, 11, , 18, , 
2024/12/7, 22, 11, , 18, , 
2024/12/8, 30, 11, , 10, , 
2024/12/9, 57, 12, , 8, , 
